sex,Age,BP_Percentile,Type,height_percentile,bp_value
M,13,90th,Systolic,25th,118
M,13,90th,Diastolic,25th,74
M,13,95th,Systolic,25th,122
M,13,95th,Diastolic,25th,78
M,14,50th,Systolic,25th,109
M,14,50th,Diastolic,25th,62
M,14,90th,Systolic,25th,123
M,14,90th,Diastolic,25th,75
M,14,95th,Systolic,25th,127
M,14,95th,Diastolic,25th,79
M,15,50th,Systolic,25th,112
M,15,50th,Diastolic,25th,64
M,15,90th,Systolic,25th,126
M,15,90th,Diastolic,25th,78
M,15,95th,Systolic,25th,131
M,15,95th,Diastolic,25th,81
M,16,50th,Systolic,25th,114
M,16,50th,Diastolic,25th,66
M,16,90th,Systolic,25th,128
M,16,90th,Diastolic,25th,79
M,16,95th,Systolic,25th,133
M,16,95th,Diastolic,25th,83
M,17,50th,Systolic,25th,116
M,17,50th,Diastolic,25th,67
M,17,90th,Systolic,25th,130
M,17,90th,Diastolic,25th,80
M,17,95th,Systolic,25th,134
M,17,95th,Diastolic,25th,84
F,1,50th,Systolic,25th,86
F,1,50th,Diastolic,25th,42
F,1,90th,Systolic,25th,99
F,1,90th,Diastolic,25th,56
F,1,95th,Systolic,25th,102
F,1,95th,Diastolic,25th,60
F,2,50th,Systolic,25th,88
F,2,50th,Diastolic,25th,47
F,2,90th,Systolic,25th,102
F,2,90th,Diastolic,25th,59
F,2,95th,Systolic,25th,106
F,2,95th,Diastolic,25th,63
F,3,50th,Systolic,25th,89
F,3,50th,Diastolic,25th,49
F,3,90th,Systolic,25th,104
F,3,90th,Diastolic,25th,61
F,3,95th,Systolic,25th,107
F,3,95th,Diastolic,25th,65
F,4,50th,Systolic,25th,91
F,4,50th,Diastolic,25th,51
F,4,90th,Systolic,25th,105
F,4,90th,Diastolic,25th,64
F,4,95th,Systolic,25th,109
F,4,95th,Diastolic,25th,68
F,5,50th,Systolic,25th,92
F,5,50th,Diastolic,25th,53
F,5,90th,Systolic,25th,106
F,5,90th,Diastolic,25th,66
F,5,95th,Systolic,25th,109
F,5,95th,Diastolic,25th,70
F,6,50th,Systolic,25th,93
F,6,50th,Diastolic,25th,55
F,6,90th,Systolic,25th,107
F,6,90th,Diastolic,25th,68
F,6,95th,Systolic,25th,110
F,6,95th,Diastolic,25th,72
F,7,50th,Systolic,25th,94
F,7,50th,Diastolic,25th,56
F,7,90th,Systolic,25th,107
F,7,90th,Diastolic,25th,69
F,7,95th,Systolic,25th,111
F,7,95th,Diastolic,25th,73
F,8,50th,Systolic,25th,95
F,8,50th,Diastolic,25th,57
F,8,90th,Systolic,25th,108
F,8,90th,Diastolic,25th,71
F,8,95th,Systolic,25th,112
F,8,95th,Diastolic,25th,74
F,9,50th,Systolic,25th,97
F,9,50th,Diastolic,25th,59
F,9,90th,Systolic,25th,109
F,9,90th,Diastolic,25th,72
F,9,95th,Systolic,25th,113
F,9,95th,Diastolic,25th,75
F,10,50th,Systolic,25th,98
F,10,50th,Diastolic,25th,59
F,10,90th,Systolic,25th,111
F,10,90th,Diastolic,25th,73
F,10,95th,Systolic,25th,114
F,10,95th,Diastolic,25th,76
F,11,50th,Systolic,25th,101
F,11,50th,Diastolic,25th,60
F,11,90th,Systolic,25th,113
F,11,90th,Diastolic,25th,74
F,11,95th,Systolic,25th,117
F,11,95th,Diastolic,25th,77
F,12,50th,Systolic,25th,104
F,12,50th,Diastolic,25th,61
F,12,90th,Systolic,25th,116
F,12,90th,Diastolic,25th,75
F,12,95th,Systolic,25th,120
F,12,95th,Diastolic,25th,78
F,13,50th,Systolic,25th,106
F,13,50th,Diastolic,25th,63
F,13,90th,Systolic,25th,119
F,13,90th,Diastolic,25th,75
F,13,95th,Systolic,25th,123
F,13,95th,Diastolic,25th,79
F,14,50th,Systolic,25th,107
F,14,50th,Diastolic,25th,64
F,14,90th,Systolic,25th,120
F,14,90th,Diastolic,25th,76
F,14,95th,Systolic,25th,124
F,14,95th,Diastolic,25th,80
F,15,50th,Systolic,25th,107
F,15,50th,Diastolic,25th,64
F,15,90th,Systolic,25th,121
F,15,90th,Diastolic,25th,76
F,15,95th,Systolic,25th,125
F,15,95th,Diastolic,25th,80
F,16,50th,Systolic,25th,108
F,16,50th,Diastolic,25th,65
F,16,90th,Systolic,25th,122
F,16,90th,Diastolic,25th,76
F,16,95th,Systolic,25th,125
F,16,95th,Diastolic,25th,80
F,17,50th,Systolic,25th,109
F,17,50th,Diastolic,25th,65
F,17,90th,Systolic,25th,123
F,17,90th,Diastolic,25th,77
F,17,95th,Systolic,25th,126
F,17,95th,Diastolic,25th,80
M,1,50th,Systolic,50th,86
M,1,50th,Diastolic,50th,41
M,1,90th,Systolic,50th,100
M,1,90th,Diastolic,50th,53
M,1,95th,Systolic,50th,103
M,1,95th,Diastolic,50th,55
M,2,50th,Systolic,50th,89
M,2,50th,Diastolic,50th,44
M,2,90th,Systolic,50th,102
M,2,90th,Diastolic,50th,56
M,2,95th,Systolic,50th,106
M,2,95th,Diastolic,50th,59
M,3,50th,Systolic,50th,90
M,3,50th,Diastolic,50th,47
M,3,90th,Systolic,50th,103
M,3,90th,Diastolic,50th,59
M,3,95th,Systolic,50th,107
M,3,95th,Diastolic,50th,62
M,4,50th,Systolic,50th,92
M,4,50th,Diastolic,50th,50
M,4,90th,Systolic,50th,105
M,4,90th,Diastolic,50th,62
M,4,95th,Systolic,50th,108
M,4,95th,Diastolic,50th,66
M,5,50th,Systolic,50th,94
M,5,50th,Diastolic,50th,53
M,5,90th,Systolic,50th,106
M,5,90th,Diastolic,50th,65
M,5,95th,Systolic,50th,109
M,5,95th,Diastolic,50th,69
M,6,50th,Systolic,50th,95
M,6,50th,Diastolic,50th,56
M,6,90th,Systolic,50th,107
M,6,90th,Diastolic,50th,68
M,6,95th,Systolic,50th,111
M,6,95th,Diastolic,50th,71
M,7,50th,Systolic,50th,97
M,7,50th,Diastolic,50th,58
M,7,90th,Systolic,50th,109
M,7,90th,Diastolic,50th,70
M,7,95th,Systolic,50th,112
M,7,95th,Diastolic,50th,73
M,8,50th,Systolic,50th,98
M,8,50th,Diastolic,50th,59
M,8,90th,Systolic,50th,110
M,8,90th,Diastolic,50th,71
M,8,95th,Systolic,50th,114
M,8,95th,Diastolic,50th,74
M,9,50th,Systolic,50th,99
M,9,50th,Diastolic,50th,60
M,9,90th,Systolic,50th,110
M,9,90th,Diastolic,50th,73
M,9,95th,Systolic,50th,115
M,9,95th,Diastolic,50th,76
M,10,50th,Systolic,50th,100
M,10,50th,Diastolic,50th,62
M,10,90th,Systolic,50th,112
M,10,90th,Diastolic,50th,74
M,10,95th,Systolic,50th,116
M,10,95th,Diastolic,50th,77
M,11,50th,Systolic,50th,102
M,11,50th,Diastolic,50th,63
M,11,90th,Systolic,50th,114
M,11,90th,Diastolic,50th,75
M,11,95th,Systolic,50th,118
M,11,95th,Diastolic,50th,78
M,12,50th,Systolic,50th,104
M,12,50th,Diastolic,50th,62
M,12,90th,Systolic,50th,117
M,12,90th,Diastolic,50th,75
M,12,95th,Systolic,50th,121
M,12,95th,Diastolic,50th,78
M,13,50th,Systolic,50th,108
M,13,50th,Diastolic,50th,62
M,13,90th,Systolic,50th,121
M,13,90th,Diastolic,50th,75
M,13,95th,Systolic,50th,125
M,13,95th,Diastolic,50th,78
M,14,50th,Systolic,50th,111
M,14,50th,Diastolic,50th,64
M,14,90th,Systolic,50th,126
M,14,90th,Diastolic,50th,77
M,14,95th,Systolic,50th,130
M,14,95th,Diastolic,50th,81
M,15,50th,Systolic,50th,113
M,15,50th,Diastolic,50th,65
M,15,90th,Systolic,50th,128
M,15,90th,Diastolic,50th,79
M,15,95th,Systolic,50th,132
